date,code,open,high,low,close,volume,amount
2024/11/29,sh.000905,5748.1665,5899.873,5736.4093,5851.9385,20425554400,2.44E+11
2024/12/2,sh.000905,5853.7053,5956.5981,5848.4235,5943.6245,23618130800,2.57E+11
2024/12/3,sh.000905,5946.7352,5954.6607,5877.8012,5932.1207,20987050900,2.29E+11
2024/12/4,sh.000905,5929.4763,5940.8545,5850.9094,5879.2695,21599163400,2.34E+11
2024/12/5,sh.000905,5855.7419,5923.6243,5853.527,5901.9859,19854223600,2.12E+11
2024/12/6,sh.000905,5903.4988,6011.7691,5877.0434,5979.197,26532953600,2.56E+11
2024/12/9,sh.000905,5983.3343,6004.2343,5911.3619,5947.1089,28446220900,2.37E+11
2024/12/10,sh.000905,6132.291,6141.0655,5982.5833,5992.0937,32052782300,3.25E+11
2024/12/11,sh.000905,5973.326,6051.4718,5972.2696,6047.105,25388394100,2.5E+11
2024/12/12,sh.000905,6048.7814,6107.7146,6023.2343,6100.3945,24365369000,2.58E+11
2024/12/13,sh.000905,6065.9542,6065.9542,5988.292,5988.292,28632819800,3.07E+11
2024/12/16,sh.000905,5983.1598,5991.5772,5888.0426,5912.6014,21464744100,2.42E+11
2024/12/17,sh.000905,5896.9676,5924.6244,5837.2514,5848.1628,19310854700,2.05E+11
2024/12/18,sh.000905,5861.2624,5921.9798,5853.1628,5888.6162,18799629000,1.93E+11
2024/12/19,sh.000905,5829.2631,5918.4895,5816.4729,5901.9155,19653119400,2.11E+11
2024/12/20,sh.000905,5889.946,5962.4154,5889.946,5917.1751,17809039900,2.21E+11
2024/12/23,sh.000905,5917.6939,5935.1523,5815.3415,5818.551,17731548600,2.17E+11
2024/12/24,sh.000905,5827.1597,5897.1946,5827.1597,5895.2595,16736582400,1.96E+11
2024/12/25,sh.000905,5896.4295,5897.5101,5796.6475,5840.2889,15727913200,1.91E+11
2024/12/26,sh.000905,5830.7212,5897.4827,5830.7212,5887.0605,14531944400,2.02E+11
2024/12/27,sh.000905,5892.6943,5975.7919,5881.7173,5899.1665,17908549800,2.37E+11
2024/12/30,sh.000905,5890.4633,5928.5718,5867.8538,5898.884,15556558600,1.96E+11
2024/12/31,sh.000905,5902.033,5905.463,5725.7324,5725.7324,18215885500,2.17E+11
2025/1/2,sh.000905,5717.9157,5722.1107,5498.8216,5545.8174,19376315700,2.2E+11
2025/1/3,sh.000905,5552.75,5581.3978,5419.7429,5427.8041,17407731000,1.87E+11
2025/1/6,sh.000905,5421.0653,5482.6253,5384.3326,5427.1007,14626565800,1.57E+11
2025/1/7,sh.000905,5429.1729,5485.5848,5405.1327,5484.6847,14506527800,1.6E+11
2025/1/8,sh.000905,5462.324,5501.6555,5326.9259,5461.5861,16384991500,1.81E+11
2025/1/9,sh.000905,5437.8128,5493.6799,5436.7036,5456.5863,12983262700,1.57E+11
2025/1/10,sh.000905,5449.0014,5496.3833,5369.2811,5369.2811,13017955300,1.6E+11
2025/1/13,sh.000905,5319.7013,5422.0115,5319.2741,5381.6974,11968293700,1.39E+11
2025/1/14,sh.000905,5393.763,5582.835,5378.5875,5572.2722,17214286000,2.08E+11
2025/1/15,sh.000905,5559.5785,5569.1895,5509.5757,5522.459,13839324300,1.69E+11
2025/1/16,sh.000905,5546.6997,5633.8547,5508.9146,5545.6336,14931808500,1.83E+11
2025/1/17,sh.000905,5524.205,5621.9367,5519.4109,5587.2939,12669117400,1.64E+11
2025/1/20,sh.000905,5621.9247,5665.183,5598.1584,5614.3311,13571250700,1.73E+11
2025/1/21,sh.000905,5639.6037,5642.9168,5573.5002,5633.9249,12649130000,1.71E+11
2025/1/22,sh.000905,5606.8472,5618.581,5567.7793,5607.0594,11537499600,1.58E+11
2025/1/23,sh.000905,5659.3685,5717.6887,5584.2548,5584.2548,16341998700,2.04E+11
2025/1/24,sh.000905,5570.48,5660.4337,5570.48,5649.9504,13943805800,1.81E+11
2025/1/27,sh.000905,5660.4848,5676.0261,5589.3432,5589.3432,13654605600,1.63E+11
2025/2/5,sh.000905,5643.1747,5646.0366,5588.5558,5614.3872,15567414100,2.15E+11
2025/2/6,sh.000905,5606.8707,5749.0232,5597.3246,5747.9012,18142819300,2.57E+11
2025/2/7,sh.000905,5750.2887,5889.4279,5741.7326,5833.9883,23271886300,3.28E+11
2025/2/10,sh.000905,5858.2425,5895.4055,5836.1713,5888.5509,20930090500,2.86E+11
2025/2/11,sh.000905,5890.3732,5890.3732,5827.3777,5858.2805,18192050800,2.6E+11
2025/2/12,sh.000905,5841.3618,5940.5374,5841.3188,5940.5299,19544615500,2.85E+11
2025/2/13,sh.000905,5938.2034,5957.5798,5889.6952,5898.2611,22828183900,3.13E+11
2025/2/14,sh.000905,5893.9342,5954.477,5886.9501,5947.796,21191426100,3.07E+11
2025/2/17,sh.000905,5979.8446,5985.3644,5906.2661,5948.7197,23390168900,3.57E+11
2025/2/18,sh.000905,5935.4993,5947.9342,5816.0511,5840.7112,21494148200,3.07E+11
2025/2/19,sh.000905,5834.9547,5945.3461,5831.4815,5943.8823,20529830500,3.14E+11
2025/2/20,sh.000905,5941.599,5977.7301,5920.5681,5957.5465,19820741100,3.06E+11
2025/2/21,sh.000905,5969.6462,6061.824,5943.1948,6057.0648,25231712800,3.97E+11
2025/2/24,sh.000905,6057.3801,6079.0169,6007.1786,6044.973,24381379800,3.82E+11
2025/2/25,sh.000905,5967.0367,6044.7559,5956.1761,5979.9653,20683395300,3.4E+11
2025/2/26,sh.000905,5990.2901,6055.8727,5973.8574,6051.7401,21086089800,3.27E+11
2025/2/27,sh.000905,6050.1864,6064.491,5940.3354,6028.9856,21665293000,3.28E+11
2025/2/28,sh.000905,5997.9175,6007.4724,5847.1512,5859.8708,20522381400,2.98E+11
2025/3/3,sh.000905,5875.9522,5964.2684,5851.56,5885.7696,18502458100,2.67E+11
2025/3/4,sh.000905,5845.4712,5943.0837,5843.4633,5937.6302,15392221100,2.31E+11
2025/3/5,sh.000905,5937.1074,5955.8988,5892.5332,5950.7034,16307150000,2.42E+11
2025/3/6,sh.000905,5980.3798,6062.5412,5972.6039,6047.7734,21304285200,3.21E+11
2025/3/7,sh.000905,6029.3813,6067.3481,5989.3206,6013.7747,20743714900,3.01E+11
2025/3/10,sh.000905,6022.6814,6041.5219,5971.8131,6013.6191,17304433600,2.49E+11
2025/3/11,sh.000905,5944.4197,6044.9742,5942.9124,6044.9742,17385564300,2.45E+11
2025/3/12,sh.000905,6068.3762,6098.2352,6038.8221,6040.4965,18476353700,2.68E+11
2025/3/13,sh.000905,6032.8545,6050.1782,5947.7816,5993.967,19371071700,2.54E+11
2025/3/14,sh.000905,5993.9702,6099.9809,5978.5321,6099.9809,21924583400,2.89E+11
2025/3/17,sh.000905,6119.6064,6129.8543,6098.5079,6108.0176,18431727300,2.5E+11
2025/3/18,sh.000905,6126.0357,6161.2281,6114.2064,6133.3018,16602304300,2.36E+11
2025/3/19,sh.000905,6117.4233,6128.2297,6076.5643,6101.4369,15389378000,2.19E+11
2025/3/20,sh.000905,6094.8426,6109.1829,6055.3811,6059.4859,14718786500,2.04E+11
2025/3/21,sh.000905,6038.9899,6071.0846,5951.7952,5971.9302,17410378500,2.26E+11
2025/3/24,sh.000905,5973.0466,5987.0606,5882.878,5969.0789,16919243500,2.2E+11
2025/3/25,sh.000905,5969.4164,5993.9312,5929.6734,5946.951,14748394800,1.92E+11
2025/3/26,sh.000905,5935.8537,5983.4739,5935.8537,5948.4986,13670211100,1.72E+11
2025/3/27,sh.000905,5932.5165,6000.6615,5891.7664,5957.6017,13470890400,1.77E+11
2025/3/28,sh.000905,5954.7297,5973.8015,5904.9159,5916.0314,13426192700,1.69E+11
2025/3/31,sh.000905,5886.956,5908.3026,5802.4187,5857.7721,15425609000,1.9E+11
2025/4/1,sh.000905,5870.9424,5931.5038,5867.848,5892.8502,13644860200,1.79E+11
2025/4/2,sh.000905,5884.8925,5936.6467,5884.1126,5899.0865,11215996000,1.41E+11
2025/4/3,sh.000905,5842.6167,5906.7057,5817.9662,5845.5045,13493862500,1.74E+11
2025/4/7,sh.000905,5523.9636,5587.8502,5212.6773,5287.0333,23652265600,2.67E+11
2025/4/8,sh.000905,5279.7566,5371.1834,5249.2318,5326.914,22384066500,2.62E+11
2025/4/9,sh.000905,5249.6841,5465.1449,5135.9655,5439.7716,24511802700,2.88E+11
2025/4/10,sh.000905,5534.559,5610.1895,5513.9544,5544.0646,21196303500,2.69E+11
2025/4/11,sh.000905,5514.188,5631.5954,5510.8949,5581.3184,16441166300,2.28E+11
2025/4/14,sh.000905,5633.7792,5661.8049,5608.7297,5627.1375,15548707700,2.07E+11
2025/4/15,sh.000905,5625.0005,5626.677,5567.0271,5602.534,12327370800,1.62E+11
2025/4/16,sh.000905,5589.7769,5592.6741,5492.6546,5556.8642,13253722400,1.64E+11
2025/4/17,sh.000905,5527.5905,5604.6198,5526.8881,5557.0105,11365238200,1.48E+11
2025/4/18,sh.000905,5546.9666,5579.4791,5525.4046,5560.7207,11164425800,1.4E+11
2025/4/21,sh.000905,5556.5126,5646.2179,5535.6994,5642.3805,12311188300,1.6E+11
2025/4/22,sh.000905,5634.8936,5651.5541,5617.8786,5624.209,12466668900,1.64E+11
2025/4/23,sh.000905,5647.9148,5670.2595,5614.7677,5634.9487,12700776400,1.78E+11
2025/4/24,sh.000905,5633.024,5651.5343,5583.4302,5605.8796,12269669600,1.58E+11
2025/4/25,sh.000905,5613.1407,5661.5869,5596.5266,5627.1804,14000080000,1.72E+11
2025/4/28,sh.000905,5624.4166,5628.0778,5587.7857,5598.2951,13621809400,1.68E+11
2025/4/29,sh.000905,5583.7186,5622.022,5571.2363,5604.9057,12674292700,1.58E+11
2025/4/30,sh.000905,5604.6537,5647.7821,5603.1718,5631.8249,13838662100,1.82E+11
2025/5/6,sh.000905,5668.8762,5740.3338,5666.4698,5740.3338,16277360600,2.17E+11
2025/5/7,sh.000905,5805.656,5819.2422,5713.2734,5750.2911,17101175700,2.28E+11
2025/5/8,sh.000905,5731.7157,5783.7915,5724.9511,5773.8056,13614032200,1.87E+11
2025/5/9,sh.000905,5770.441,5770.441,5705.1654,5721.7225,12393900700,1.78E+11
2025/5/12,sh.000905,5751.4372,5794.5161,5737.4622,5793.6743,13582436700,1.99E+11
2025/5/13,sh.000905,5838.0341,5838.0341,5772.0723,5781.6683,13827108100,1.94E+11
2025/5/14,sh.000905,5778.0791,5835.4912,5750.5367,5799.1191,15627999400,1.88E+11
2025/5/15,sh.000905,5786.7833,5786.7833,5715.2938,5715.2966,13516076800,1.65E+11
2025/5/16,sh.000905,5703.7354,5735.0121,5703.7354,5715.8491,11670913600,1.42E+11
2025/5/19,sh.000905,5719.4381,5729.0703,5669.7208,5720.7949,11538493900,1.41E+11
2025/5/20,sh.000905,5723.5055,5759.4582,5707.8101,5747.367,11689661500,1.52E+11
2025/5/21,sh.000905,5741.6885,5763.0788,5733.8275,5757.9225,11580454200,1.55E+11
2025/5/22,sh.000905,5739.1909,5757.7946,5701.1614,5703.2797,10905772000,1.42E+11
2025/5/23,sh.000905,5697.1362,5738.0829,5653.0436,5653.0436,11436119800,1.48E+11
2025/5/26,sh.000905,5653.2063,5693.625,5644.5794,5669.4609,9717098900,1.27E+11
2025/5/27,sh.000905,5666.3027,5667.871,5629.1343,5652.1454,9514936300,1.25E+11
2025/5/28,sh.000905,5651.8755,5660.4696,5628.4165,5637.2378,9490888300,1.2E+11
2025/5/29,sh.000905,5637.0633,5724.5185,5637.0633,5719.9101,11468248400,1.48E+11
2025/5/30,sh.000905,5704.771,5704.771,5665.5177,5671.0723,10990070700,1.38E+11
2025/6/3,sh.000905,5653.6747,5710.4203,5653.2978,5694.8385,12285390300,1.6E+11
2025/6/4,sh.000905,5696.5692,5744.4543,5696.5692,5739.0058,11619607700,1.5E+11
2025/6/5,sh.000905,5741.0298,5778.0959,5719.5466,5769.9675,12522358400,1.75E+11
2025/6/6,sh.000905,5768.3989,5771.7558,5750.6592,5762.0778,10821766000,1.48E+11
2025/6/9,sh.000905,5772.7792,5823.899,5765.3547,5805.6543,12818861900,1.71E+11
2025/6/10,sh.000905,5809.8283,5810.9224,5715.9712,5757.9921,13826918100,1.83E+11
2025/6/11,sh.000905,5758.5287,5818.5734,5758.5287,5792.9464,12371670700,1.61E+11
2025/6/12,sh.000905,5780.967,5808.8047,5766.5212,5799.9319,12561584600,1.65E+11
2025/6/13,sh.000905,5783.156,5794.6698,5728.2114,5740.2397,16761337400,2.16E+11
2025/6/16,sh.000905,5725.0029,5775.9487,5725.0029,5767.8083,12824265800,1.71E+11
2025/6/17,sh.000905,5772.296,5776.6325,5734.829,5750.9122,12152662400,1.6E+11
2025/6/18,sh.000905,5740.1556,5753.7124,5709.8031,5745.8714,11270384400,1.55E+11
2025/6/19,sh.000905,5733.8068,5750.4643,5660.0504,5676.8317,12553113400,1.63E+11
2025/6/20,sh.000905,5669.0901,5688.7362,5636.7846,5639.513,10179476600,1.35E+11
2025/6/23,sh.000905,5613.2813,5684.3973,5613.2813,5674.1704,11160180200,1.46E+11
2025/6/24,sh.000905,5683.4622,5766.0189,5683.4622,5765.8373,14208225600,1.92E+11
2025/6/25,sh.000905,5777.7404,5866.5246,5776.1237,5862.5529,18463231000,2.39E+11
2025/6/26,sh.000905,5868.2924,5885.2508,5835.3395,5838.2454,18016416300,2.35E+11
2025/6/27,sh.000905,5850.4252,5905.6962,5839.5775,5863.7282,19938972500,2.43E+11
2025/6/30,sh.000905,5877.6748,5918.3068,5872.2251,5915.3876,16627514700,2.27E+11
2025/7/1,sh.000905,5915.8043,5936.9237,5890.114,5934.67,15419236500,2.14E+11
2025/7/2,sh.000905,5922.5407,5922.5407,5873.8918,5892.9505,16250048500,1.95E+11
2025/7/3,sh.000905,5896.2403,5929.7268,5885.943,5922.66,13007004600,1.75E+11
2025/7/4,sh.000905,5917.753,5969.3028,5889.7303,5911.4352,16494106000,2.11E+11
2025/7/7,sh.000905,5901.4018,5910.8036,5889.6023,5900.4056,13720736200,1.66E+11
2025/7/8,sh.000905,5903.1017,5979.6273,5903.1017,5977.7437,16868114200,2.17E+11
2025/7/9,sh.000905,5980.6451,5992.1349,5940.1761,5953.4871,16491440200,2.08E+11
2025/7/10,sh.000905,5950.9657,6000.6858,5942.2901,5983.0505,17624260700,2.08E+11
2025/7/11,sh.000905,5985.8236,6057.6225,5963.2571,6027.0789,22236309800,2.63E+11
2025/7/14,sh.000905,6033.1782,6042.8856,6011.6872,6020.8585,18927744400,2.26E+11
2025/7/15,sh.000905,6018.6274,6049.7867,5973.7969,6018.7583,18973623400,2.46E+11
2025/7/16,sh.000905,6019.5765,6061.199,5997.1633,6017.1947,14861006200,2.13E+11
2025/7/17,sh.000905,6013.7141,6082.4644,6013.0436,6082.4644,14969265800,2.35E+11
2025/7/18,sh.000905,6092.2296,6112.1098,6073.6384,6099.6104,15315220400,2.36E+11
2025/7/21,sh.000905,6115.0255,6162.4401,6110.988,6161.3086,20735050700,2.72E+11
2025/7/22,sh.000905,6166.6164,6215.4058,6152.8142,6213.4072,24621164200,3.14E+11
2025/7/23,sh.000905,6218.2069,6256.1516,6187.0121,6196.7577,25837789600,3.11E+11
2025/7/24,sh.000905,6197.8532,6293.5984,6197.8532,6293.5984,26835556400,3.2E+11
2025/7/25,sh.000905,6297.6255,6311.1687,6276.4156,6299.5908,23705532800,3.04E+11
2025/7/28,sh.000905,6305.2247,6329.0304,6271.93,6323.4198,21444826700,3.05E+11
2025/7/29,sh.000905,6308.1228,6356.1497,6272.3139,6356.1327,20175762900,2.93E+11
2025/7/30,sh.000905,6345.3737,6368.2693,6269.5128,6314.6873,21212841100,3.05E+11
2025/7/31,sh.000905,6297.9122,6322.0651,6206.1902,6226.3432,22421423700,3.22E+11
2025/8/1,sh.000905,6221.0505,6253.6575,6177.4781,6213.2014,16590719100,2.54E+11
2025/8/4,sh.000905,6190.3443,6261.9617,6187.6219,6261.7313,14859148000,2.37E+11
2025/8/5,sh.000905,6277.0114,6303.2359,6272.5062,6303.2359,15420666500,2.36E+11
2025/8/6,sh.000905,6298.9291,6357.5899,6293.2247,6357.3769,16602763800,2.64E+11
2025/8/7,sh.000905,6356.3322,6366.2138,6299.4929,6337.5425,17044640000,2.75E+11
2025/8/8,sh.000905,6324.1746,6351.3348,6308.1478,6323.4999,17250752600,2.59E+11
2025/8/11,sh.000905,6335.4267,6404.8331,6335.4267,6391.7595,17490919900,2.77E+11
2025/8/12,sh.000905,6392.4021,6418.1595,6360.1093,6418.1595,16835191800,2.9E+11
2025/8/13,sh.000905,6422.7889,6514.4558,6422.2147,6508.0978,21602242300,3.54E+11
2025/8/14,sh.000905,6509.2085,6519.7938,6411.9209,6429.8462,22895316800,3.68E+11
2025/8/15,sh.000905,6417.3889,6570.4994,6417.3889,6568.57,24521724000,3.81E+11
2025/8/18,sh.000905,6612.9878,6709.7812,6580.4373,6668.1726,30244822900,4.91E+11
2025/8/19,sh.000905,6663.157,6707.1139,6631.1193,6655.3105,25283927600,4.45E+11
2025/8/20,sh.000905,6623.6138,6728.0692,6598.5506,6728.0692,24423390700,4.1E+11
2025/8/21,sh.000905,6739.6899,6767.3225,6673.0608,6704.1657,24254016400,4.04E+11
2025/8/22,sh.000905,6704.0297,6823.3626,6704.0297,6822.8469,25678382000,4.47E+11
2025/8/25,sh.000905,6886.2682,6967.7963,6863.9322,6951.8955,33382894500,5.75E+11
2025/8/26,sh.000905,6928.2862,7008.9627,6910.4055,6964.0653,28153238200,4.91E+11
2025/8/27,sh.000905,6964.7697,7074.6302,6862.5624,6862.5624,32806018300,5.84E+11
2025/8/28,sh.000905,6858.5028,7011.1602,6798.9335,7011.1602,30806178600,5.64E+11
2025/8/29,sh.000905,7030.2741,7078.923,6990.7532,7043.9416,28091581400,5.23E+11
2025/9/1,sh.000905,7087.7337,7110.687,7038.3444,7110.2882,28590831100,5.36E+11
2025/9/2,sh.000905,7108.9446,7108.9446,6909.7234,6961.6894,29403653900,5.41E+11
2025/9/3,sh.000905,6988.0205,7003.2681,6846.1814,6868.4615,25908326600,4.5E+11
2025/9/4,sh.000905,6884.3577,6906.6919,6607.9849,6698.4474,27034189400,4.72E+11
2025/9/5,sh.000905,6709.145,6919.336,6678.5997,6913.9532,24085745700,4.32E+11
