date,breadth
2022/3/21,21.2
2022/3/22,20.6
2022/3/23,23.2
2022/3/24,21.8
2022/3/25,20.2
2022/3/28,23.4
2022/3/29,25.4
2022/3/3,56
2022/3/30,38.8
2022/3/31,41.2
2022/3/4,46.4
2022/3/7,29.4
2022/3/8,11.8
2022/3/9,7.8
2022/4/1,50.6
2022/4/11,31.8
2022/4/12,42.6
2022/4/13,35.8
2022/4/14,43
2022/4/15,35.6
2022/4/18,29.4
2022/4/19,31.8
2022/4/20,22.6
2022/4/21,10.2
2022/4/22,11.8
2022/4/25,4.2
2022/4/26,3.4
2022/4/27,7
2022/4/28,8.6
2022/4/29,18.4
2022/4/6,55.2
2022/4/7,43
2022/4/8,42.4
2022/5/10,33.4
2022/5/11,37.6
2022/5/12,42.6
2022/5/13,49.4
2022/5/16,53
2022/5/17,56.2
2022/5/18,57.4
2022/5/19,63.8
2022/5/20,82
2022/5/23,86.8
2022/5/24,48.8
2022/5/25,72.8
2022/5/26,82
2022/5/27,77
2022/5/30,78.6
2022/5/31,85
2022/5/5,24.4
2022/5/6,20.2
2022/5/9,24.2
2022/6/1,84.4
2022/6/10,84.6
2022/6/13,76.4
2022/6/14,78
2022/6/15,80.8
2022/6/16,79.8
2022/6/17,77.6
2022/6/2,84.2
2022/6/20,77.8
2022/6/21,73
2022/6/22,53.2
2022/6/23,69.2
2022/6/24,71.2
2022/6/27,70.8
2022/6/28,79
2022/6/29,66.2
2022/6/30,67.6
2022/6/6,86.4
2022/6/7,88.4
2022/6/8,86.8
2022/6/9,76.8
2022/7/1,59.4
2022/7/11,32.8
2022/7/12,24.2
2022/7/13,27.6
2022/7/14,28
2022/7/15,21
2022/7/18,32.2
2022/7/19,39.2
2022/7/20,45
2022/7/21,41.2
2022/7/22,35
2022/7/25,28.2
2022/7/26,39
2022/7/27,40.8
2022/7/28,48.4
2022/7/29,39.4
2022/7/4,66.4
2022/7/5,59.6
2022/7/6,44
2022/7/7,42.8
2022/7/8,40.2
2022/8/1,41.2
2022/8/10,41.8
2022/8/11,63.2
2022/8/12,66
2022/8/15,61.8
2022/8/16,64
2022/8/17,70.4
2022/8/18,60.4
2022/8/19,53
2022/8/2,23
2022/8/22,64
2022/8/23,58.8
2022/8/24,31.8
2022/8/25,42.6
2022/8/26,42.6
2022/8/29,45
2022/8/3,21.8
2022/8/30,45.2
2022/8/31,32.6
2022/8/4,24.8
2022/8/5,36.6
2022/8/8,43
2022/8/9,45
2022/9/1,29.6
2022/9/13,48.2
2022/9/14,40
2022/9/15,30
2022/9/16,13.6
2022/9/19,11.6
2022/9/2,32
2022/9/20,14
2022/9/21,18
2022/9/22,15.6
2022/9/23,12.4
2022/9/26,7.8
2022/9/27,15.2
2022/9/28,10.8
2022/9/29,12.8
2022/9/30,10.6
2022/9/5,35.6
2022/9/6,44
2022/9/7,40.4
2022/9/8,40.2
2022/9/9,50.6
2023/1/10,56
2023/1/11,51.8
2023/1/12,54
2023/1/13,67.8
2023/1/16,80.2
2023/1/17,80
2023/1/18,80.4
2023/1/19,81.4
2023/1/20,86.6
2023/1/3,32.2
2023/1/30,87.6
2023/1/31,87.4
2023/1/4,39.2
2023/1/5,49.4
2023/1/6,47.8
2023/1/9,57.2
2023/10/10,28
2023/10/11,31.2
2023/10/12,41.6
2023/10/13,34.4
2023/10/16,28.2
2023/10/17,29.8
2023/10/18,18.8
2023/10/19,12.8
2023/10/20,10.8
2023/10/23,7.4
2023/10/24,11
2023/10/25,12.8
2023/10/26,17.4
2023/10/27,35.6
2023/10/30,48.2
2023/10/31,48.2
2023/10/9,31.8
2023/11/1,47.8
2023/11/10,60.4
2023/11/13,65.8
2023/11/14,69.2
2023/11/15,79.8
2023/11/16,66.8
2023/11/17,68
2023/11/2,38.4
2023/11/20,68.2
2023/11/21,65.8
2023/11/22,45
2023/11/23,56
2023/11/24,41.6
2023/11/27,39.2
2023/11/28,43.6
2023/11/29,34.4
2023/11/3,50.6
2023/11/30,34
2023/11/6,69.4
2023/11/7,67
2023/11/8,63.8
2023/11/9,64
2023/12/1,37
2023/12/11,38.2
2023/12/12,41.4
2023/12/13,35.2
2023/12/14,32.8
2023/12/15,27.6
2023/12/18,19.6
2023/12/19,19.4
2023/12/20,15.2
2023/12/21,16.8
2023/12/22,17.8
2023/12/25,18.2
2023/12/26,15.4
2023/12/27,19
2023/12/28,34.2
2023/12/29,45
2023/12/4,36.6
2023/12/5,22
2023/12/6,25.6
2023/12/7,26.2
2023/12/8,27.8
2023/2/1,88.6
2023/2/10,73.6
2023/2/13,78.8
2023/2/14,80.8
2023/2/15,71
2023/2/16,52.2
2023/2/17,43.6
2023/2/2,89.2
2023/2/20,65.8
2023/2/21,70
2023/2/22,66
2023/2/23,61.6
2023/2/24,55.2
2023/2/27,42.8
2023/2/28,58.2
2023/2/3,83.8
