date,close,turnover
2021-09-10,5.552,0.54
2021-09-13,5.525,0.44
2021-09-14,5.459,0.46
2021-09-15,5.406,0.38
2021-09-16,5.35,0.6
2021-09-17,5.389,0.71
2021-09-22,5.356,0.68
2021-09-23,5.385,0.4
2021-09-24,5.392,0.65
2021-09-27,5.424,0.5
2021-09-28,5.415,0.37
2021-09-29,5.382,0.82
2021-09-30,5.396,0.43
2021-10-08,5.467,0.34
2021-10-11,5.466,0.36
2021-10-12,5.414,0.46
2021-10-13,5.47,0.35
2021-10-14,5.443,0.28
2021-10-15,5.467,0.3
2021-10-18,5.409,0.35
2021-10-19,5.456,0.4
2021-10-20,5.442,0.22
2021-10-21,5.464,0.31
2021-10-22,5.497,0.46
2021-10-25,5.514,0.37
2021-10-26,5.497,0.34
2021-10-27,5.431,0.39
2021-10-28,5.41,0.61
2021-10-29,5.442,0.59
2021-11-01,5.426,0.27
2021-11-02,5.374,0.6
2021-11-03,5.354,0.47
2021-11-04,5.401,0.4
2021-11-05,5.384,0.37
2021-11-08,5.38,0.43
2021-11-09,5.378,0.37
2021-11-10,5.353,0.68
2021-11-11,5.433,0.49
2021-11-12,5.431,0.38
2021-11-15,5.425,0.47
2021-11-16,5.421,0.49
2021-11-17,5.42,0.32
2021-11-18,5.376,0.5
2021-11-19,5.431,0.38
2021-11-22,5.444,0.49
2021-11-23,5.447,0.44
2021-11-24,5.458,0.25
2021-11-25,5.439,0.19
2021-11-26,5.397,0.28
2021-11-29,5.39,0.32
2021-11-30,5.372,0.26
2021-12-01,5.385,0.29
2021-12-02,5.395,0.22
2021-12-03,5.44,0.31
2021-12-06,5.435,0.46
2021-12-07,5.463,0.3
2021-12-08,5.535,0.47
2021-12-09,5.619,0.88
2021-12-10,5.604,0.55
2021-12-13,5.617,0.6
2021-12-14,5.586,0.5
2021-12-15,5.54,0.28
2021-12-16,5.567,0.52
2021-12-17,5.494,0.87
2021-12-20,5.419,1.18
2021-12-21,5.44,0.72
2021-12-22,5.443,0.93
2021-12-23,5.481,0.42
2021-12-24,5.458,0.36
2021-12-27,5.462,0.7
2021-12-28,5.488,0.89
2021-12-29,5.421,0.56
2021-12-30,5.457,0.66
2021-12-31,5.469,0.49
2022-01-04,5.451,0.68
2022-01-05,5.404,0.64
2022-01-06,5.348,0.72
2022-01-07,5.36,0.66
2022-01-10,5.373,0.68
2022-01-11,5.328,0.57
2022-01-12,5.38,0.71
2022-01-13,5.299,0.68
2022-01-14,5.255,0.57
2022-01-17,5.296,0.69
2022-01-18,5.342,0.87
2022-01-19,5.316,0.73
2022-01-20,5.354,0.75
2022-01-21,5.32,1.09
2022-01-24,5.322,0.64
2022-01-25,5.216,0.83
2022-01-26,5.242,0.73
2022-01-27,5.161,0.84
2022-01-28,5.09,1.19
2022-02-07,5.162,0.67
2022-02-08,5.14,0.62
2022-02-09,5.179,0.64
2022-02-10,5.168,0.69
2022-02-11,5.132,0.64
2022-02-14,5.083,0.46
2022-02-15,5.125,0.84
2022-02-16,5.146,0.62
2022-02-17,5.156,0.87
2022-02-18,5.18,0.42
2022-02-21,5.163,0.45
2022-02-22,5.103,0.44
2022-02-23,5.151,0.62
2022-02-24,5.066,0.82
2022-02-25,5.101,0.53
2022-02-28,5.107,0.37
2022-03-01,5.145,0.45
2022-03-02,5.11,0.27
2022-03-03,5.081,0.28
2022-03-04,5.03,0.56
2022-03-07,4.882,0.81
2022-03-08,4.8,0.96
2022-03-09,4.76,1.09
2022-03-10,4.82,0.77
2022-03-11,4.848,0.55
2022-03-14,4.708,0.6
2022-03-15,4.509,1.45
2022-03-16,4.682,1.84
2022-03-17,4.766,1.59
2022-03-18,4.794,0.56
2022-03-21,4.788,0.52
2022-03-22,4.784,0.35
2022-03-23,4.809,0.43
2022-03-24,4.782,0.31
2022-03-25,4.705,0.5
2022-03-28,4.68,0.58
2022-03-29,4.662,0.32
2022-03-30,4.785,0.7
2022-03-31,4.754,0.59
2022-04-01,4.805,0.52
2022-04-06,4.793,0.47
2022-04-07,4.741,0.39
2022-04-08,4.769,0.44
2022-04-11,4.637,0.81
2022-04-12,4.707,1.12
2022-04-13,4.675,0.54
2022-04-14,4.719,0.8
2022-04-15,4.717,0.74
2022-04-18,4.697,0.39
2022-04-19,4.67,0.44
2022-04-20,4.6,0.54
2022-04-21,4.532,1.1
2022-04-22,4.542,0.86
2022-04-25,4.349,2.3
2022-04-26,4.319,2.14
2022-04-27,4.425,1.91
2022-04-28,4.451,1.49
2022-04-29,4.551,1.06
2022-05-05,4.536,1.02
2022-05-06,4.439,0.72
2022-05-09,4.407,0.44
2022-05-10,4.452,0.76
2022-05-11,4.507,0.87
2022-05-12,4.487,0.43
2022-05-13,4.518,0.39
2022-05-16,4.487,0.61
2022-05-17,4.536,0.42
2022-05-18,4.522,0.37
2022-05-19,4.531,0.45
2022-05-20,4.615,0.83
2022-05-23,4.583,0.71
2022-05-24,4.501,0.58
2022-05-25,4.518,0.64
2022-05-26,4.528,0.67
2022-05-27,4.538,0.77
2022-05-30,4.561,0.63
2022-05-31,4.625,0.63
2022-06-01,4.619,0.52
2022-06-02,4.63,0.4
2022-06-06,4.712,0.59
2022-06-07,4.718,0.53
2022-06-08,4.76,0.59
2022-06-09,4.726,0.41
2022-06-10,4.784,0.9
2022-06-13,4.732,0.81
2022-06-14,4.772,0.87
2022-06-15,4.821,1.56
2022-06-16,4.794,0.71
2022-06-17,4.857,0.99
2022-06-20,4.878,1.02
2022-06-21,4.876,0.59
2022-06-22,4.826,0.5
2022-06-23,4.901,0.56
2022-06-24,4.949,0.58
2022-06-27,4.997,0.63
2022-06-28,5.049,0.52
2022-06-29,4.994,0.76
2022-06-30,5.044,0.79
2022-07-01,5.029,0.62
2022-07-04,5.057,0.54
2022-07-05,5.047,0.54
2022-07-06,4.988,0.44
2022-07-07,5.004,0.56
2022-07-08,5.0,0.29
2022-07-11,4.924,0.63
2022-07-12,4.888,0.48
2022-07-13,4.895,0.41
2022-07-14,4.896,0.45
2022-07-15,4.831,1.02
2022-07-18,4.877,0.54
2022-07-19,4.855,0.49
2022-07-20,4.867,0.42
2022-07-21,4.822,0.43
2022-07-22,4.825,0.44
2022-07-25,4.807,0.35
2022-07-26,4.836,0.52
2022-07-27,4.812,0.36
2022-07-28,4.815,0.51
2022-07-29,4.756,0.65
2022-08-01,4.774,0.41
2022-08-02,4.703,0.76
2022-08-03,4.658,0.52
2022-08-04,4.689,0.36
2022-08-05,4.754,0.55
2022-08-08,4.74,0.22
2022-08-09,4.747,0.34
2022-08-10,4.702,0.28
2022-08-11,4.79,0.48
2022-08-12,4.791,0.29
2022-08-15,4.781,0.32
2022-08-16,4.771,0.23
2022-08-17,4.812,0.39
2022-08-18,4.775,0.28
2022-08-19,4.745,0.4
2022-08-22,4.772,0.43
2022-08-23,4.758,0.38
2022-08-24,4.681,0.56
2022-08-25,4.717,0.46
2022-08-26,4.711,0.32
2022-08-29,4.686,0.33
2022-08-30,4.677,0.32
2022-08-31,4.677,0.77
2022-09-01,4.643,0.44
2022-09-02,4.62,0.37
2022-09-05,4.618,0.3
2022-09-06,4.647,0.37
2022-09-07,4.655,0.26
2022-09-08,4.637,0.24
2022-09-09,4.695,0.55
2022-09-13,4.709,0.45
2022-09-14,4.663,0.6
2022-09-15,4.626,0.82
2022-09-16,4.536,1.01
2022-09-19,4.525,0.55
2022-09-20,4.527,0.42
2022-09-21,4.497,0.51
2022-09-22,4.468,0.39
2022-09-23,4.46,0.72
2022-09-26,4.435,1.05
2022-09-27,4.485,0.72
2022-09-28,4.429,0.74
2022-09-29,4.43,0.7
2022-09-30,4.404,0.89
2022-10-10,4.325,0.95
2022-10-11,4.322,0.68
2022-10-12,4.384,1.02
2022-10-13,4.351,0.48
2022-10-14,4.439,1.04
2022-10-17,4.438,0.54
2022-10-18,4.431,0.6
2022-10-19,4.372,0.4
2022-10-20,4.36,0.52
2022-10-21,4.338,0.46
2022-10-24,4.24,0.87
2022-10-25,4.224,1.14
2022-10-26,4.252,0.95
2022-10-27,4.226,0.71
2022-10-28,4.14,1.03
2022-10-31,4.101,0.83
2022-11-01,4.239,1.49
2022-11-02,4.273,1.04
2022-11-03,4.243,0.68
2022-11-04,4.37,1.57
2022-11-07,4.37,0.74
2022-11-08,4.347,1.11
2022-11-09,4.307,0.72
2022-11-10,4.286,0.7
2022-11-11,4.384,1.91
2022-11-14,4.386,1.18
2022-11-15,4.461,1.07
2022-11-16,4.432,0.75
